"species_harmonized","usageKey"
"Leiothlypis ruficapilla","GBIF:7531611"
"Poecile atricapillus","GBIF:2487805"
"Cyclophora annularia","GBIF:5149768"
"Spinus spinus","GBIF:6092830"
"Butorides virescens","GBIF:9539567"
"Cynoscion regalis","GBIF:2399985"
"Fringilla coelebs","GBIF:2494422"
"Anser fabalis","GBIF:2498027"
"Amara communis","GBIF:4472849"
"Agonum muelleri","GBIF:4988484"
"Amara plebeja","GBIF:4472828"
"Cardamine hirsuta","GBIF:3046258"
"Gadus macrocephalus","GBIF:2415853"
"Ictinia mississippiensis","GBIF:2480719"
"Diacrisia sannio","GBIF:4532544"
"Agrotis puta","GBIF:1770772"
"Procellaria aequinoctialis","GBIF:2481495"
"Dryobotodes eremita","GBIF:7775149"
"Lejogaster metallina","GBIF:1537380"
"Sturnella neglecta","GBIF:9596413"
"Trisopterus esmarkii","GBIF:2415923"
"Spiophanes bombyx","GBIF:2321057"
"Jynx torquilla","GBIF:8012314"
"Sayornis saya","GBIF:2483607"
"Amara similata","GBIF:4472913"
"Poecile carolinensis","GBIF:2487844"
"Calypte anna","GBIF:2476674"
"Metacarcinus magister","GBIF:5863764"
"Podiceps auritus","GBIF:2482059"
"Leptidea sinapis","GBIF:5137903"
"Hoplodrina blanda","GBIF:1784826"
"Apamea sublustris","GBIF:1795946"
"Bembidion lampros","GBIF:1036216"
"Anthus spragueii","GBIF:2490268"
"Contopus cooperi","GBIF:5229743"
"Lophius americanus","GBIF:2415069"
"Calidris maritima","GBIF:2481743"
"Haemorhous mexicanus","GBIF:8323485"
"Notemigonus crysoleucas","GBIF:2363714"
"Egretta thula","GBIF:2480873"
"Sebastes babcocki","GBIF:2335374"
"Tyrannus verticalis","GBIF:5229675"
"Lyrurus tetrix","GBIF:2473682"
"Streptopelia decaocto","GBIF:2495696"
"Porichthys plectrodon","GBIF:2350824"
"Spio filicornis","GBIF:5197861"
"Acer rubrum","GBIF:3189883"
"Tyria jacobaeae","GBIF:5115777"
"Rivula sericealis","GBIF:1769897"
"Mythimna pallens","GBIF:5772196"
"Melanitta perspicillata","GBIF:2498246"
"Lutjanus campechanus","GBIF:2384865"
"Gallinago delicata","GBIF:2481817"
"Molothrus aeneus","GBIF:2484404"
"Hypomecis roboraria","GBIF:4524636"
"Asthena albulata","GBIF:1987744"
"Oxypselaphus obscurus","GBIF:4474146"
"Setophaga dominica","GBIF:7341800"
"Alsophila aescularia","GBIF:5143947"
"Bathyporeia elegans","GBIF:2216112"
"Ardea alba","GBIF:9752617"
"Prionotus carolinus","GBIF:5201557"
"Centaurea nigra","GBIF:3128225"
"Poa annua","GBIF:2704179"
"Hypena rostralis","GBIF:1798594"
"Sphinx ligustri","GBIF:5124143"
"Scalibregma inflatum","GBIF:7815303"
"Clupea harengus","GBIF:8351946"
"Achelous gibbesii","GBIF:5974591"
"Ennomos alniaria","GBIF:1957845"
"Tilia americana","GBIF:3152042"
"Badister bullatus","GBIF:5756018"
"Thuja occidentalis","GBIF:2684178"
"Glyptocephalus cynoglossus","GBIF:5213996"
"Oligia strigilis","GBIF:7895336"
"Trochosa ruricola","GBIF:2145852"
"Walckenaeria atrotibialis","GBIF:2134829"
"Nudaria mundana","GBIF:5116416"
"Halidrys siliquosa","GBIF:5422716"
"Thaleichthys pacificus","GBIF:2410903"
"Callinectes similis","GBIF:2225642"
"Illex illecebrosus","GBIF:9558545"
"Axylia putris","GBIF:1761438"
"Myoxocephalus octodecemspinosus","GBIF:2333802"
"Oxalis acetosella","GBIF:8211958"
"Phoebetria palpebrata","GBIF:2481374"
"Sitta carolinensis","GBIF:2484892"
"Lolliguncula brevis","GBIF:2290362"
"Notiophilus aquaticus","GBIF:9796855"
"Cilix glaucata","GBIF:1951557"
"Pasiphila rectangulata","GBIF:4523885"
"Dicranum scoparium","GBIF:2675446"
"Eumicrotremus spinosus","GBIF:2336857"
"Euphagus cyanocephalus","GBIF:2484183"
"Calanus glacialis","GBIF:5166402"
"Gasterosteus aculeatus","GBIF:4286327"
"Eudorellopsis deformis","GBIF:2215600"
"Parantica sita","GBIF:1897664"
"Tetrastes bonasia","GBIF:2473663"
"Scopula marginepunctata","GBIF:5144900"
"Eupithecia subumbrata","GBIF:1982525"
"Cistothorus palustris","GBIF:2493863"
"Pollachius virens","GBIF:2415861"
"Trechus quadristriatus","GBIF:4476667"
"Gadus morhua","GBIF:8084280"
"Acrocephalus dumetorum","GBIF:2493145"
"Acrocephalus scirpaceus","GBIF:2493118"
"Festuca rubra","GBIF:2704922"
"Colinus virginianus","GBIF:9791464"
"Berryteuthis magister","GBIF:2290057"
"Plagiothecium denticulatum","GBIF:5283478"
"Macaria alternata","GBIF:5880545"
